Nº,Orientador,Autores,Título,Área - Subárea,Tipo
01.01,"Edivaldo José Bortoleto","Maura Araujo Ferrini, Edivaldo José Bortoleto","Comparativa: Abordagem Semiótica versus Método Tradicional no Ensino de Literatura no Ensino Fundamental II","Linguística, Letras e Artes - Artes Visuais, Dança e Teatro","Pôster/Banner"
01.02,"Prof. Dr. João Silva","Ana Maria Santos, Carlos Eduardo Lima","Desenvolvimento de Algoritmo de Machine Learning para Análise de Dados Climáticos","Ciências Exatas e da Terra e Engenharias - Tecnologias da Informação e Programação","Apresentação Oral"
01.03,"Prof. Dra. Maria Costa","Roberto Almeida, Patricia Oliveira","Impacto da Agricultura Sustentável na Produção de Alimentos Orgânicos","Ciências Agrárias - Agricultura e Sustentabilidade no Campo","Pôster/Banner"
01.04,"Prof. Dr. Ricardo Mendes","Beatriz Ferreira, Fernando Silva","Estudo sobre Biotecnologia Aplicada na Produção de Medicamentos","Ciências Biológicas e Ciências da Saúde - Biotecnologia e Microbiologia","Apresentação Oral"
01.05,"Prof. Dra. Ana Paula Lima","Lucas Santos, Mariana Costa","Análise da Gestão Empresarial em Pequenas Empresas do Setor Tecnológico","Ciências Sociais Aplicadas e Ciências Humanas - Gestão, Empreendedorismo e Economia","Pôster/Banner"
01.06,"Prof. Dr. Carlos Eduardo","Juliana Silva, Rafael Costa","Desenvolvimento de Robótica Educacional para Ensino Fundamental","Ciências Exatas e da Terra e Engenharias - Robótica, Automação e Eletrônica","Apresentação Oral"
01.07,"Prof. Dra. Patricia Santos","Gabriel Lima, Camila Oliveira","Estudo sobre Nutrição e Bem-estar em Idosos","Ciências Biológicas e Ciências da Saúde - Nutrição, Enfermagem e Bem-estar","Pôster/Banner"
01.08,"Prof. Dr. Roberto Silva","Amanda Costa, Thiago Santos","Análise Histórica e Sociológica do Desenvolvimento Urbano","Ciências Sociais Aplicadas e Ciências Humanas - História, Filosoa e Sociologia","Apresentação Oral"
01.09,"Prof. Dra. Beatriz Lima","Marcos Oliveira, Fernanda Silva","Produção Textual e Literatura Contemporânea","Linguística, Letras e Artes - Língua Portuguesa e Produção Textual","Pôster/Banner"
01.10,"Prof. Dr. Fernando Costa","Carolina Santos, Diego Lima","Desenvolvimento de Energias Renováveis para Comunidades Rurais","Ciências Exatas e da Terra e Engenharias - Engenharia e Energias Renováveis","Apresentação Oral" 
